RIC,YearMonth,TotalAdjNbSharesHeld,ETFHoldings,Date,Volatility,Date.1,AmihudRatio,Date.2,Bid,Ask,PctBidAskSpread,RetPast12to1M,Date.3,GrossProfit,TotalAssetsReported,GrossProfitability,Date.4,Close,CompanyMarketCap,PriceToBVPerShare
SDRL.N,2017-05-01,23855674.0,12.750362911415408,2017-05-31,0.05865100162041712,2017-05-31,4.337376405857804e-08,2017-05-31,120.84616399999999,120.872942,0.00022156295746027872,-0.7767637540453074,2017-05-31,2093000000.0,21666000000.0,0.09660297239915076,2017-05-31,120.60516799999999,238889996.717968,0.024954597
SDRL.N,2017-04-01,23429635.0,12.522653903302011,2017-04-30,0.13690588691109476,2017-04-30,3.298746673789622e-08,2017-04-24,176.302049,176.328826,0.00015186985541173272,-0.6548117154811716,2017-04-24,2093000000.0,21666000000.0,0.09660297239915076,2017-04-24,176.46271299999995,345932528.642677,0.036333689
SDRL.N,2017-03-01,23302778.0,12.45485146821452,2017-03-31,0.08145798914132467,2017-03-31,2.2206238604226308e-08,2017-03-31,439.14848099999995,441.826216,0.006079028169863638,-0.4696969696969696,2017-03-31,2093000000.0,21666000000.0,0.09660297239915076,2017-03-31,441.826216,792916988.307019,0.085850821
SDRL.N,2017-02-01,22004207.0,11.760792205154516,2017-02-28,0.067186862542603,2017-02-28,1.3982726692424542e-08,2017-02-28,465.92582699999997,468.603562,0.005730659798436882,-0.1651785714285715,2017-02-28,2093000000.0,21666000000.0,0.09660297239915076,2017-02-28,468.603562,865565362.12197,0.093716616
SDRL.N,2017-07-01,12016966.0,6.422819057392383,2017-07-31,0.08195098946416493,2017-07-31,1.745855727812204e-07,2017-07-31,97.737314,98.031865,0.003009166218140992,-0.8785858585858587,2017-07-31,2093000000.0,21666000000.0,0.09660297239915076,2017-07-31,98.728076,190571831.637325,0.019907252
SDRL.N,2017-06-01,11559675.0,6.178406503543598,2017-06-30,0.06677548549792388,2017-06-30,6.747707681962293e-08,2017-06-30,95.8629,96.39844699999999,0.005571031394053366,-0.8609876543209877,2017-06-30,2093000000.0,21666000000.0,0.09660297239915076,2017-06-30,96.559111,184964111.582428,0.019321466
SDRL.N,2017-08-01,10939374.0,5.846868486034057,2017-08-31,0.08065113968514727,2017-08-31,3.219403844377761e-07,2017-08-31,50.207525,50.609185,0.007968123538250747,-0.8470124481327802,2017-08-31,2093000000.0,21666000000.0,0.09660297239915076,2017-08-31,50.635962,90360260.4706306,0.009571062
BCEI.N,2018-02-01,854909.0,1.9362860119586882,2018-02-28,0.02407521694692149,2018-02-28,7.190723332192209e-09,2018-02-28,28.0,28.02,0.0007140307033202276,-0.8540622798625099,2018-02-28,138798000.0,1134478000.0,0.1223452548220415,2018-02-28,28.03,573312978.47,0.8272070709999999
BCEI.N,2017-11-01,810179.0,1.8349768979887664,2017-11-30,0.033128455937103216,2017-11-30,8.938153718796187e-09,2017-11-30,27.77,27.78,0.00036003600360041634,-0.6968309288014203,2017-11-30,138798000.0,1134478000.0,0.1223452548220415,2017-11-30,27.77,567995055.73,0.819534084
BCEI.N,2018-01-01,807092.0,1.8279851422359124,2018-01-31,0.021077847350934983,2018-01-31,1.0555390491616943e-08,2018-01-31,28.0,28.01,0.0003570790930191596,-0.8943380215005543,2018-01-31,138798000.0,1134478000.0,0.1223452548220415,2018-01-31,28.01,572903907.49,0.826616841
BCEI.N,2017-10-01,783129.0,1.7737112701576372,2017-10-31,0.023818548684545214,2017-10-31,1.494244191620331e-08,2017-10-31,33.83,33.84,0.00029555194325417807,-0.6845482572524333,2017-10-31,138798000.0,1134478000.0,0.1223452548220415,2017-10-31,33.83,691136446.53,1.006884232
BCEI.N,2017-08-01,669165.0,1.5155938575828956,2017-08-31,0.03255842409816718,2017-08-31,2.4827003460631004e-08,2017-08-31,25.99,26.0,0.00038468936333916384,-0.7448595391140607,2017-08-31,138798000.0,1134478000.0,0.1223452548220415,2017-08-31,25.99,530967669.09,0.7735418620000001
BCEI.N,2017-07-01,665389.0,1.5070415836202211,2017-07-31,0.03054472438289965,2017-07-31,1.0745419988565334e-08,2017-07-31,29.04,29.05,0.000344293337923965,-0.6461578937150995,2017-07-31,138798000.0,1134478000.0,0.1223452548220415,2017-07-31,29.04,593278226.64,-0.17611240600000005
BCEI.N,2017-06-01,653750.0,1.4806803768798695,2017-06-30,0.028752497342703763,2017-06-30,2.759343378301466e-08,2017-06-30,31.65,31.67,0.0006317119393557525,-0.8426602352912076,2017-06-30,138798000.0,1134478000.0,0.1223452548220415,2017-06-30,31.71,647825501.61,-0.192304559
GEVO.OQ,2012-07-01,4298.0,1.125130890052356,2012-07-31,0.03900395275951776,2012-07-31,7.774886957110318e-08,2012-07-31,23280.0,23340.0,0.002574002574002574,-0.6993345432546885,2012-07-31,3961000.0,133030000.0,0.02977523866796963,2012-07-31,23280.0,152592841.76,1.344793286
GEVO.OQ,2012-08-01,4138.0,1.0832460732984293,2012-08-31,0.03990067767106655,2012-08-31,1.0792116756256919e-07,2012-08-31,21240.0,21300.0,0.002820874471086037,-0.6363636363636364,2012-08-31,3961000.0,133030000.0,0.02977523866796963,2012-08-31,21240.0,139221304.08,1.516250378
GEVO.OQ,2012-09-01,4120.0,1.0785340314136125,2012-09-30,0.09401198717945287,2012-09-30,1.0063055149805648e-07,2012-09-24,12540.0,12600.0,0.00477326968973747,-0.3644524236983842,2012-09-24,3961000.0,133030000.0,0.02977523866796963,2012-09-24,12600.0,84162031.28,0.916603336
GEVO.OQ,2012-10-01,3992.0,1.0450261780104713,2012-10-31,0.029935101197224662,2012-10-31,1.5610892052073e-07,2012-10-31,12060.0,12120.0,0.0049627791563275426,-0.7133243606998654,2012-10-31,3961000.0,133030000.0,0.02977523866796963,2012-10-31,12120.0,79604265.04,0.8652050179999999
