Index,CUSIP,ISIN,OAPermID,RIC,SEDOL,LipperID,Ticker
QLIS.PK,74754Q105,US74754Q1058,4298008756,QLIS.PK,BDT8Q85,,QLIS
REACD.PK,74945M203,US74945M2035,5035253627,REAC.PK,BGMHMP9,,REAC
AZIL.PK,05478B107,US05478B1070,4298024351,AZIL.PK,BF0T090,,AZIL
NTFY.PK,669956401,US6699564018,4295914389,NTFY.PK,B5N1TT6,,NTFY
AOBI.PK,28731503,US0287315032,4295864910,AOBI.PK,BLD3723,,AOBI
LWLW.PK,543356109,US5433561090,4298052513,LWLW.PK,BD36425,,LWLW
ASIN.PK,00215R101,US00215R1014,4298009332,ASIN.PK,BGBVHH9,,ASIN
TWER.PK,892000308,US8920003089,4295899229,TWER.PK,BF4KQ91,,TWER
WMTN.PK,96111A200,US96111A2006,4297936465,WMTN.PK,BFMC7Z2,,WMTN
STSC.PK,85571H201,US85571H2013,4297271517,STSC.PK,BH42K88,,STSC
GBGD.PK,37933T308,US37933T3086,4295913558,GBGD.PK,BFYV9Z1,,GBGD
BPCP.PK,09141T206,US09141T2069,4295912676,BPCP.PK,B0J6QN3,,BPCP
OPGX.PK,683886303,US6838863032,4295902589,OPGX.PK,B8SDYN7,,OPGX
RGGI.PK,761127109,US7611271096,4295915693,RGGI.PK,BD91DS3,,RGGI
AIKO.PK,02155W207,US02155W2070,4297868490,AIKO.PK,BDRJM48,,AIKO
LMSC.PK,53803W206,US53803W2061,4295907271,LMSC.PK,BYZLMW1,,LMSC
DIGM.PK,212343206,US2123432062,4295912974,DIGM.PK,2061674,,DIGM
CHMP.PK,158520205,US1585202054,4295905920,CHMP.PK,BD89XG6,,CHMP
CKFC.PK,182236307,US1822363073,4295912882,CKFC.PK,BBCTWV6,,CKFC
VICP.PK,92560A106,US92560A1060,4296466381,VICP.PK,BYWSR08,,VICP
TMED.PK,896259306,US8962593062,4295908192,TMED.PK,BYX5SW7,,TMED
HCBN.PK,404131104,US4041311048,4296480780,HCBN.PK,2790020,,HCBN
VRTB.PK,92549X409,US92549X4097,4295910017,VRTB.PK,BD4H7H3,,VRTB
UFMG.PK,913708103,US9137081033,4295915277,UFMG.PK,2570512,,UFMG
TVNB.PK,900016106,US9000161060,4295955614,TVNB.PK,2496221,,TVNB
FPCO.PK,341072106,US3410721068,4296363372,FPCO.PK,B030BV4,,FPCO
CPFH.PK,140144205,US1401442058,4295914285,CPFH.PK,BD00GK2,,CPFH
SBHO.PK,860010107,US8600101070,5000009534,SBHO.PK,B032637,,SBHO
WDBG.PK,978887206,US9788872060,4295902576,WDBG.PK,BJCZ6S5,,WDBG
AIRO.PK,00950H300,US00950H3003,4295903050,AIRO.PK,2612469,,AIRO
GPGC.PK,3.7956E+208,US37956E2046,4296491238,GPGC.PK,BF4JV93,,GPGC
LKST.PK,54344C105,US54344C1053,5045895532,LKST.PK,BF048H9,,LKST
CUEN.PK,229794102,US2297941021,4298010034,CUEN.PK,BG0SZV1,,CUEN
VPGI.PK,92257E304,US92257E3045,4298010066,VPGI.PK,B00PS44,,VPGI
CFIC.PK,21925G201,US21925G2012,4296101108,CFIC.PK,BYTPKS1,,CFIC
TENX.OQ,88032L209,US88032L2097,4295902940,TENX.OQ,BDRTJV4,,TENX
WNMLA.PK,974259103,US9742591038,4295915607,WNMLA.PK,2152965,,WNMLA
RHE.A,75903M309,US75903M3097,5053943177,RHE.A,BG861L9,,RHE
VRTA.PK,925490203,US9254902037,4295912079,VRTA.PK,BTDFTQ3,,VRTA
HKNI.PK,40420K707,US40420K7072,4295904131,HKNI.PK,B927Y98,,HKNI
GLYE.PK,38000P203,US38000P2039,5036783662,GLYE.PK,BDDVTF8,,GLYE
FSBS.PK,33646D102,US33646D1028,5035304404,FSBS.PK^D19,,,
SECI.PK,81371J307,US81371J3077,4298008879,SECI.PK,B7CLVL7,,SECI
RDGA.PK,765816103,US7658161036,4295912661,RDGA.PK,2439635,,RDGA
CAEN.PK,130199102,US1301991022,4296356033,CAEN.PK,B02W382,,CAEN
ABHD.PK,00400H207,US00400H2076,4297781746,ABHD.PK^C19,,,
SKASD.PK,79380Q205,US79380Q2057,4295912057,SKAS.PK,BGMHPV6,,SKAS
SZBI.PK,844271106,US8442711060,4295904948,SZBI.PK,2827467,,SZBI
CUBG.PK,125013102,US1250131026,4297822771,CUBG.PK,BGC17R8,,CUBG
EBODF.PK,,KYG645181069,4295864317,EBODF.PK,BYT83L4,,EBODF
ITNM.PK,46004U300,US46004U3005,4295902095,ITNM.PK,BCT5QN4,,ITNM
UUU.A,913821302,US9138213023,4295915267,UUU.A,2202291,,UUU
TRAC.PK,891918120,US8919181201,4295908161,TRAC.PK,B06CWZ8,,TRAC
TOAK.PK,89464P106,US89464P1066,4295913861,TOAK.PK,B04G7N5,,TOAK
LSTGD.PK,542281209,US5422812090,5000267697,LSTG.PK,BGMHPT4,,LSTG
BONL.PK,97770200,US0977702002,4296470982,BONL.PK,2109303,,BONL
SCDA.PK,05575Y208,US05575Y2081,4297373045,SCDA.PK,BYN5C25,,SCDA
LMFA.OQ,502074305,US5020743051,5046289380,LMFA.OQ,BGSGXT1,,LMFA
RASF.PK,749227864,US7492278640,4295904823,RASF.PK,BF4Q376,,RASF
HMTC.PK,436866107,US4368661074,4295913699,HMTC.PK,2434083,,HMTC
NRLB.PK,664826104,US6648261047,4298010021,NRLB.PK,2547259,,NRLB
TUXS.PK,901144105,US9011441055,4296421060,TUXS.PK,2616546,,TUXS
FCPB.PK,31941G101,US31941G1013,4296462448,FCPB.PK,B032VY3,,FCPB
GBR.A,643611106,US6436111065,4295913044,GBR.A,2824822,,GBR
DFHL.PK,25774M201,US25774M2017,4297691032,DFHL.PK,BYWFFK5,,DFHL
DEWY.PK,252063102,US2520631027,4295913158,DEWY.PK,2267847,,DEWY
WELX.PK,97424Q106,US97424Q1067,4295912326,WELX.PK,BDZW8M9,,WELX
PGAS.PK,71650A309,US71650A3095,5000738637,PGAS.PK,BYWLCT1,,PGAS
TNRK.PK,872595202,US8725952027,4295915176,TNRK.PK,2493330,,TNRK
ORPN.OQ,,IL0011319527,5040438566,,BP96PT7,,ENLV
SODI.PK,834256208,US8342562084,4295911460,SODI.PK,2820604,,SODI
EDHD.PK,279307201,US2793072016,4296101137,EDHD.PK,2690119,,EDHD
JANL.PK,47077R109,US47077R1095,4295902051,JANL.PK,BWXTWF6,,JANL
CHFS.OQ,12542Q706,US12542Q7060,4297238706,CHFS.OQ,BJ2DJ68,,CHFS
MARPS.OQ,568423107,US5684231070,4295908996,MARPS.OQ,2565239,,MARPS
JUHL.PK,48132B204,US48132B2043,4297730185,JUHL.PK,BYQGCV4,,JUHL
TCCO.OQ,878409101,US8784091014,4295908111,TCCO.OQ,2880954,,TCCO
MFBP.PK,552507105,US5525071057,4295899933,MFBP.PK,2489953,,MFBP
FTDL.PK,33766M106,US33766M1062,4295901081,FTDL.PK,2081263,,FTDL
YVR.OQ,53634Q204,CA53634Q2045,4295861896,YVR.OQ,BGSDJF0,,YVR
ELTK.OQ,,IL0010828411,4295875237,ELTK.OQ,2530260,,ELTK
WORX.OQ,78396V109,US78396V1098,5051772832,WORX.OQ,BHX5903,,WORX
ANY.OQ,84841L308,CA84841L3083,5064705141,ANY.OQ,BGYBZ38,,ANY
PWBO.PK,69506W202,US69506W2026,4296078250,PWBO.PK,BYMD6S4,,PWBO
TLSS.PK,89388L108,US89388L1089,5000269696,TLSS.PK,BYVQZH6,,TLSS
ESWW.PK,29408K201,US29408K2015,4295901988,ESWW.PK,BB2D0F8,,ESWW
PAYD.PK,69561N402,US69561N4025,4295914850,PAYD.PK,BD85Y05,,PAYD
PHBI.PK,71716C109,US71716C1099,4298013750,PHBI.PK,BG8BN07,,PHBI
NXNN.PK,65342G203,US65342G2030,5056416091,NXNN.PK,BD5KSV2,,NXNN
FHRT.PK,320488109,US3204881094,4295913442,FHRT.PK,2339780,,FHRT
BPTH.OQ,09057N300,US09057N3008,4298010079,BPTH.OQ,BJ2L058,,BPTH
TLDN.PK,8.7961E+107,US87961E1038,5063303578,TLDN.PK,BFXZ0D9,,TLDN
SCON.OQ,867931602,US8679316021,4295908048,SCON.OQ,BYWPZX8,,SCON
ZCOM.PK,45320V109,US45320V1098,4295913758,ZCOM.PK,2890588,,ZCOM
ABBB.PK,50254101,US0502541016,4298054799,ABBB.PK,B3CQ448,,ABBB
WXMN.PK,944124502,US9441245027,4295908452,WXMN.PK,B01NDX1,,WXMN
RDVA.PK,750610107,US7506101077,4295914674,RDVA.PK,2720317,,RDVA
CMXX.PK,17185E308,US17185E3080,4295912861,CMXX.PK,BYYCFH1,,CMXX
MTSL.OQ,,IL0010826191,4295875211,MTSL.OQ,2230430,,MTSL
VIDE.PK,926555103,US9265551039,4295908320,VIDE.PK,2929095,,VIDE
KGHI.PK,483059101,US4830591016,4295913986,KGHI.PK,2753045,,KGHI
INPX.OQ,45790J503,US45790J5039,4296182513,INPX.OQ,BFM87Y9,,INPX
KYZN.PK,501596100,US5015961007,4295914011,KYZN.PK,2498216,,KYZN
CTNR.PK,15459P108,US15459P1084,4295912811,CTNR.PK,B018ZW9,,CTNR
SOFO.PK,83545R207,US83545R2076,4295907953,SOFO.PK,2239448,,SOFO
CLWT.OQ,,VGG320301275,5000045920,CLWT.OQ,B4NBCN4,,CLWT
XSPA.OQ,98420U604,US98420U6047,4297803592,XSPA.OQ,BJ207C1,,XSPA
PBIO.PK,7.4112E+212,US74112E2081,4295905757,PBIO.PK,BF34649,,PBIO
SBOT.OQ,85855A302,CA85855A3029,4298035847,SBOT.OQ,BF5DVW7,,SBOT
PVNC.PK,741375307,US7413753077,4296405163,PVNC.PK,BZ0WHY3,,PVNC
OPHC.OQ,68401P403,US68401P4037,4295900069,OPHC.OQ,BYQ02L6,,OPHC
SCND.PK,808757108,US8087571084,4295914880,SCND.PK,2779654,,SCND
OHRP.OQ,67778H309,US67778H3093,4295905287,OHRP.OQ,BG0B0W6,,OHRP
FFHL.OQ,,KYG3704F1101,4295865094,FFHL.OQ,BDFL859,,FFHL
IGOI.PK,449593300,US4495933008,4295915924,IGOI.PK,BP8VN22,,IGOI
SPCO.PK,858603103,US8586031036,4295904980,SPCO.PK,2844961,,SPCO
ELCO.PK,284434206,US2844342061,4295906259,ELCO.PK,B815PQ0,,ELCO
IPDN.OQ,74312Y202,US74312Y2028,5038792125,IPDN.OQ,BDBBW51,,IPDN
WINR.PK,82887P100,US82887P1003,5056602885,WINR.PK,BHTDC46,,WINR
AHPI.OQ,19222207,US0192222075,4295905476,AHPI.OQ,BYVMVW1,,AHPI
BKFG.PK,05548G201,US05548G2012,4295901111,BKFG.PK,BDHF4J5,,BKFG
CCFH.PK,12487X203,US12487X2036,4295912791,CCFH.PK,BFZ2R15,,CCFH
BURG.OQ,15930P800,US15930P8005,4295902272,BURG.OQ,BF0LLY8,,BURG
MRCR.PK,617707104,US6177071049,4296414780,MRCR.PK,2701549,,MRCR
SRNN.PK,842233108,US8422331087,4295904947,SRNN.PK,2824598,,SRNN
CREX.OQ,22530J200,US22530J2006,4295899276,CREX.OQ,BF5J5P6,,CREX
BVSN.OQ,111412706,US1114127061,4295905773,BVSN.OQ,2971621,,BVSN
HXBM.PK,423287507,US4232875074,4295913669,HXBM.PK,B9GRTQ6,,HXBM
RCG.A,759720105,US7597201059,4295901345,RCG.A,B73P4R5,40033326,RCG
IVHI.PK,46124F209,US46124F2092,4295901739,IVHI.PK,BHJWNS4,,IVHI
RELV.OQ,75952R209,US75952R2094,4295907758,RELV.OQ,BDB5FD2,,RELV
CCCL.OQ,,VGG2113X1345,5000446783,CCCL.OQ,BD3WFT7,,CCCL
NURO.OQ,641255708,US6412557083,4295899921,NURO.OQ,BD0QFF8,,NURO
MAMP.PK,58404M101,US58404M1018,4295915747,MAMP.PK,BD5G456,,MAMP
FVPI.PK,302677208,US3026772083,5039187847,FVPI.PK,BDHLGD1,,FVPI
GLG.OQ,16955B106,US16955B1061,5040042275,GLG.OQ,BFY28G8,,GLG
ATOS.OQ,04962H506,US04962H5063,5000707569,ATOS.OQ,BFXZQW0,,ATOS
BXLC.PK,88577101,US0885771016,4296421040,BXLC.PK,2016674,,BXLC
AVOA.PK,53843207,US0538432073,4295912602,AVOA.PK,B054JR6,,AVOA
KBSF.OQ,,MHY460022038,5037367021,KBSF.OQ,BDFLJR8,,KBSF
CREG.OQ,168913200,US1689132009,4295902281,CREG.OQ,BYYLS35,,CREG
SPRS.PK,868908104,US8689081045,5000050606,SPRS.PK,2414331,,SPRS
MXC.A,592770101,US5927701012,4295914193,MXC.A,2435428,,MXC
