DATE,BOGZ1FU564091600Q,BOGZ1FA654091603Q
2001-10-01,0.0,129456.0
2002-01-01,5277.0,212904.0
2002-04-01,12563.0,-40.0
2002-07-01,8584.0,-245724.0
2002-10-01,11357.0,-3088.0
2003-01-01,1614.0,-34328.0
2003-04-01,2577.0,174160.0
2003-07-01,-7740.0,220696.0
2003-10-01,12873.0,187916.0
2004-01-01,1304.0,238112.0
2004-04-01,11546.0,97116.0
2004-07-01,4520.0,49816.0
2004-10-01,18228.0,115576.0
2005-01-01,1751.0,58936.0
2005-04-01,6422.0,41684.0
2005-07-01,-4989.0,13340.0
2005-10-01,20477.0,66964.0
2006-01-01,-2484.0,130568.0
2006-04-01,16214.0,-19444.0
2006-07-01,837.0,-35132.0
2006-10-01,16801.0,60204.0
2007-01-01,4696.0,74188.0
2007-04-01,1822.0,-50248.0
2007-07-01,32920.0,-91280.0
2007-10-01,39835.0,-28112.0
2008-01-01,1542.0,-152328.0
2008-04-01,2238.0,53508.0
2008-07-01,64543.0,-166992.0
2008-10-01,50077.0,-167768.0
2009-01-01,-28991.0,-67468.0
2009-04-01,5935.0,140872.0
2009-07-01,8370.0,5516.0
2009-10-01,17174.0,-48316.0
2010-01-01,-2852.0,21188.0
2010-04-01,2231.0,-57944.0
2010-07-01,10112.0,-127292.0
2010-10-01,29012.0,-18044.0
2011-01-01,10208.0,66080.0
2011-04-01,7954.0,-72260.0
2011-07-01,3141.0,-248620.0
2011-10-01,23029.0,-126740.0
2012-01-01,20686.0,-48132.0
2012-04-01,9176.0,-125892.0
2012-07-01,26705.0,-142308.0
2012-10-01,15483.0,-125076.0
2013-01-01,32521.0,98968.0
2013-04-01,26461.0,1736.0
2013-07-01,28748.0,52472.0
2013-10-01,46248.0,118980.0
2014-01-01,473.0,103860.0
2014-04-01,24245.0,-33252.0
2014-07-01,25602.0,-93768.0
2014-10-01,92667.0,20476.0
2015-01-01,-10219.0,37432.0
2015-04-01,-6020.0,-165080.0
2015-07-01,22210.0,-190116.0
2015-10-01,57155.0,-89288.0
2016-01-01,-1064.0,-71280.0
2016-04-01,9225.0,-156572.0
2016-07-01,56107.0,-235932.0
2016-10-01,103244.0,-185560.0
2017-01-01,59127.0,-65108.0
2017-04-01,20294.0,-133444.0
2017-07-01,27646.0,-230392.0
2017-10-01,78930.0,-204276.0
2018-01-01,3293.0,-178056.0
2018-04-01,34350.0,-149604.0
2018-07-01,62646.0,-204480.0
2018-10-01,38791.0,-124320.0
2019-01-01,5391.0,-49792.0
